,0,1,2,3,4,5
0,Snapshot_ID,Item_ID,Item_Name,Warehouse,Current_Stock,Snapshot_Timestamp
1,22113,1195,Xbox Wireless Controller,LA Warehouse,0,2025-06-25 14:00:00
2,25737,1928,Microsoft Modern Webcam,Chicago Warehouse,359,2025-05-09 09:00:00
3,22624,2292,Microsoft HoloLens 2,Atlanta Distribution Hub,366,2025-10-31 12:00:00
4,21613,8552,Surface Pro 9,Houston Warehouse,199,2025-09-30 22:00:00
5,24646,5618,Azure GPU Node,Seattle Warehouse,175,2025-06-10 08:00:00
6,27380,8504,Data Center Cooling Unit,LA Warehouse,115,2025-09-19 01:00:00
7,25455,7014,Azure Rack Server,Houston Warehouse,125,2025-10-12 13:00:00
8,28132,7498,Surface Go 3,Houston Warehouse,125,2025-09-21 15:00:00
9,24608,5134,Surface Laptop 5,Houston Warehouse,416,2025-09-07 09:00:00
10,26025,3945,Surface Pen,Atlanta Distribution Hub,291,2025-06-21 07:00:00
11,23086,6270,Data Center Cooling Unit,Dallas Data Center,322,2025-09-02 08:00:00
12,27149,4730,Azure GPU Node,NYC Warehouse,200,2025-10-12 04:00:00
13,22374,4259,Azure GPU Node,NYC Warehouse,54,2025-05-20 08:00:00
14,26420,4946,Microsoft Modern Webcam,NYC Warehouse,385,2025-08-06 17:00:00
15,24227,6663,Surface Pro 9,Seattle Warehouse,406,2025-06-20 15:00:00
16,29996,6076,Surface Headphones 2,LA Warehouse,201,2025-10-11 13:00:00
17,24958,3687,Data Center Cooling Unit,Houston Warehouse,84,2025-07-24 07:00:00
18,24741,8299,Azure Firewall Appliance,Houston Warehouse,328,2025-10-11 08:00:00
19,23661,1100,Xbox Wireless Controller,Chicago Warehouse,443,2025-10-04 12:00:00
20,24628,5318,Azure Network Switch,Seattle Warehouse,442,2025-09-14 21:00:00
21,29488,6725,Microsoft HoloLens 2,Atlanta Distribution Hub,217,2025-06-10 07:00:00
22,26756,1417,Surface Docking Station,Houston Warehouse,253,2025-07-15 11:00:00
23,24983,1886,Azure Network Switch,Houston Warehouse,318,2025-10-18 12:00:00
24,27781,8466,Azure Network Switch,Dallas Data Center,5,2025-08-03 09:00:00
25,28452,9987,Surface Headphones 2,Chicago Warehouse,110,2025-05-19 18:00:00
26,21561,1310,Microsoft Modern Webcam,NYC Warehouse,371,2025-11-21 01:00:00
27,29355,7295,Azure Network Switch,San Francisco Data Center,499,2025-05-19 01:00:00
28,28840,1675,Microsoft Audio Dock,Chicago Warehouse,362,2025-10-28 21:00:00
29,27054,1375,Data Center Cooling Unit,Dallas Data Center,20,2025-05-16 07:00:00
30,29988,3046,Xbox Series S Console,San Francisco Data Center,322,2025-08-23 09:00:00
31,23015,8491,Xbox Series X Console,Seattle Warehouse,176,2025-08-22 09:00:00
32,27134,2918,Surface Headphones 2,Houston Warehouse,43,2025-09-20 19:00:00
33,28842,4935,Surface Docking Station,NYC Warehouse,283,2025-10-07 16:00:00
34,28172,8005,Surface Go 3,Chicago Warehouse,231,2025-07-22 22:00:00
35,26728,5198,Xbox Series S Console,Houston Warehouse,445,2025-10-31 18:00:00
36,28743,8891,Surface Go 3,Seattle Warehouse,308,2025-06-11 23:00:00
37,24231,3891,Xbox Series S Console,Houston Warehouse,377,2025-06-22 03:00:00
38,25775,8217,Microsoft Modern Webcam,Seattle Warehouse,355,2025-08-03 19:00:00
39,22133,4795,Azure Network Switch,Atlanta Distribution Hub,482,2025-07-18 00:00:00
40,21482,7052,Data Center Cooling Unit,Chicago Warehouse,220,2025-10-19 03:00:00
41,29475,7798,Xbox Wireless Controller,Seattle Warehouse,63,2025-10-10 05:00:00
42,28144,8465,Surface Headphones 2,San Francisco Data Center,179,2025-05-01 19:00:00
43,29093,3212,Surface Go 3,Dallas Data Center,38,2025-07-30 20:00:00
44,26785,9730,Microsoft Modern Webcam,Chicago Warehouse,388,2025-10-09 08:00:00
45,25970,2467,Azure Rack Server,San Francisco Data Center,272,2025-07-04 09:00:00
46,22952,9819,Microsoft Audio Dock,San Francisco Data Center,467,2025-05-14 02:00:00
47,20330,3495,Azure Network Switch,Houston Warehouse,337,2025-06-06 21:00:00
48,20600,4503,Xbox Elite Controller,Dallas Data Center,17,2025-09-14 07:00:00
49,21785,8678,Data Center Cooling Unit,Atlanta Distribution Hub,347,2025-07-28 06:00:00
50,20902,4486,Surface Pen,San Francisco Data Center,222,2025-10-25 14:00:00
51,28929,5490,Surface Duo 2,Atlanta Distribution Hub,231,2025-08-07 15:00:00
52,24235,8778,Surface Laptop 5,NYC Warehouse,146,2025-07-21 15:00:00
53,25909,6885,Azure GPU Node,Dallas Data Center,127,2025-10-30 09:00:00
54,20316,6579,Surface Go 3,LA Warehouse,142,2025-08-02 23:00:00
55,28148,3227,Surface Docking Station,LA Warehouse,143,2025-06-01 09:00:00
56,27890,2813,Data Center Cooling Unit,Houston Warehouse,457,2025-06-15 06:00:00
57,23657,9014,Xbox Series S Console,Houston Warehouse,244,2025-06-06 22:00:00
58,25220,1224,Xbox Elite Controller,Atlanta Distribution Hub,431,2025-06-09 22:00:00
59,24484,6682,Surface Go 3,Seattle Warehouse,242,2025-10-05 10:00:00
60,28453,1909,Surface Docking Station,LA Warehouse,494,2025-06-27 10:00:00
61,26994,5003,Surface Duo 2,Houston Warehouse,347,2025-08-09 08:00:00
62,21888,6264,Surface Pro 9,LA Warehouse,397,2025-10-16 03:00:00
63,28240,9571,Surface Pen,LA Warehouse,133,2025-09-19 09:00:00
64,29579,4929,Microsoft HoloLens 2,Seattle Warehouse,76,2025-10-21 23:00:00
65,28968,6779,Surface Duo 2,NYC Warehouse,437,2025-10-19 04:00:00
66,27297,5073,Azure Rack Server,Chicago Warehouse,329,2025-05-22 21:00:00
67,29869,4692,Microsoft HoloLens 2,Chicago Warehouse,67,2025-09-23 10:00:00
68,23082,6838,Microsoft HoloLens 2,San Francisco Data Center,452,2025-08-16 15:00:00
69,29769,2860,Xbox Wireless Controller,Atlanta Distribution Hub,153,2025-07-18 01:00:00
70,20743,1832,Surface Duo 2,Chicago Warehouse,40,2025-09-11 14:00:00
71,29964,2483,Microsoft Modern Webcam,LA Warehouse,87,2025-10-06 13:00:00
